Player,Position,2010-04-04,2010-04-05,2010-04-06,2010-04-07,2010-04-08,2010-04-09,2010-04-10,2010-04-11,2010-04-12,2010-04-13,2010-04-14,2010-04-15,2010-04-16,2010-04-17,2010-04-18,2010-04-19,2010-04-20,2010-04-21,2010-04-22,2010-04-23,2010-04-24,2010-04-25,2010-04-26,2010-04-27,2010-04-28,2010-04-29,2010-04-30,2010-05-01,2010-05-02,2010-05-03,2010-05-04,2010-05-05,2010-05-06,2010-05-07,2010-05-08,2010-05-09,2010-05-10,2010-05-11,2010-05-12,2010-05-13,2010-05-14,2010-05-15,2010-05-16,2010-05-17,2010-05-18,2010-05-19,2010-05-20,2010-05-21,2010-05-22,2010-05-23,2010-05-24,2010-05-25,2010-05-26,2010-05-27,2010-05-28,2010-05-29,2010-05-30,2010-05-31,2010-06-01,2010-06-02,2010-06-03,2010-06-04,2010-06-05,2010-06-06,2010-06-07,2010-06-08,2010-06-09,2010-06-10,2010-06-11,2010-06-12,2010-06-13,2010-06-14,2010-06-15,2010-06-16,2010-06-17,2010-06-18,2010-06-19,2010-06-20,2010-06-21,2010-06-22,2010-06-23,2010-06-24,2010-06-25,2010-06-26,2010-06-27,2010-06-28,2010-06-29,2010-06-30,2010-07-01,2010-07-02,2010-07-03,2010-07-04,2010-07-05,2010-07-06,2010-07-07,2010-07-08,2010-07-09,2010-07-10,2010-07-11,2010-07-15,2010-07-16,2010-07-17,2010-07-18,2010-07-19,2010-07-20,2010-07-21,2010-07-22,2010-07-23,2010-07-24,2010-07-25,2010-07-26,2010-07-27,2010-07-28,2010-07-29,2010-07-30,2010-07-31,2010-08-01,2010-08-02,2010-08-03,2010-08-04,2010-08-05,2010-08-06,2010-08-07,2010-08-08,2010-08-09,2010-08-10,2010-08-11,2010-08-12,2010-08-13,2010-08-14,2010-08-15,2010-08-16,2010-08-17,2010-08-18,2010-08-19,2010-08-20,2010-08-21,2010-08-22,2010-08-23,2010-08-24,2010-08-25,2010-08-26,2010-08-27,2010-08-28,2010-08-29,2010-08-30,2010-08-31,2010-09-01,2010-09-02,2010-09-03,2010-09-04,2010-09-05,2010-09-06,2010-09-07,2010-09-08,2010-09-09,2010-09-10,2010-09-11,2010-09-12,2010-09-13,2010-09-14,2010-09-15,2010-09-16,2010-09-17,2010-09-18,2010-09-19,2010-09-20,2010-09-21,2010-09-22,2010-09-23,2010-09-24,2010-09-25,2010-09-26,2010-09-27,2010-09-28,2010-09-29,2010-09-30,2010-10-01,2010-10-02,2010-10-03
Brad Davis,Batter,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1510.8822578569243,1510.8822578569243,1510.8822578569243,1510.8822578569243,1522.4115353018472,1522.4115353018472,1522.4115353018472,1522.4115353018472,1522.4115353018472,1522.4115353018472,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1532.2360719720766,1521.1263951968785,1521.1263951968785,1521.1263951968785,1521.1263951968785,1521.1263951968785,1531.478968730657,1531.478968730657,1521.473832819168,1521.473832819168,1521.473832819168,1530.1853065902428,1530.1853065902428,1540.4759547639942,1531.0272424870689,1541.9014948287415,1552.9378831070744,1544.3102503361704,1535.8296203780562,1535.8296203780562,1544.484721859873,1552.476484480758,1552.476484480758,1543.2762530948592,1535.2913865942721,1527.8421723902457,1527.8421723902457,1517.4266150783053,1507.0560372488703,1507.0560372488703,1517.8429182349134,1527.4920843071736,1536.8024777796154,1526.056575869552,1516.012219625755,1526.2129946738373,1526.2129946738373,1516.5521526908635,1507.4433110860934,1498.5436862062681,1506.9827723140936,1495.5747506823259,1495.5747506823259,1503.859413765838
Micah Hoffpauir,Batter,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1512.7461442656465,1521.9254872101947,1521.9254872101947,1521.9254872101947,1521.9254872101947,1521.9254872101947,1521.9254872101947,1521.9254872101947,1530.200711470725,1530.200711470725,1530.200711470725,1530.200711470725,1530.200711470725,1530.200711470725,1520.7683330570937,1520.7683330570937,1520.7683330570937,1531.0402267071427,1531.0402267071427,1531.0402267071427,1531.0402267071427,1531.0402267071427,1541.3261817944476,1541.3261817944476,1541.3261817944476,1541.3261817944476,1550.8734929604457,1550.8734929604457,1550.8734929604457,1550.8734929604457,1541.9146047881823,1541.9146047881823,1551.8278420138863,1551.8278420138863,1551.8278420138863,1551.8278420138863,1551.8278420138863,1551.8278420138863,1561.3174312217438,1571.5566787362925,1571.5566787362925
Bill Bray,Pitcher,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1489.4803916754504,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654,1479.9561939248654
Joe Thatcher,Pitcher,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
Erick Threets,Pitcher,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1488.0754183650301,1488.0754183650301,1488.0754183650301,1488.0754183650301,1488.0754183650301,1488.0754183650301,1488.0754183650301,1488.0754183650301,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1476.7849664110256,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761,1464.3966175136761
Brett Wallace,Batter,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1509.7901266651231,1519.978326211837,1530.573319746077,1530.573319746077,1521.575488898782,1521.575488898782,1510.885063881301,1510.885063881301,1501.3174694740767,1512.7072512831717,1503.7760062769646,1495.0204373299007,1495.0204373299007,1503.2300337506108,1503.2300337506108,1511.1539249068853,1501.0405802154282,1511.6760332963918,1501.4847683260043,1501.4847683260043,1491.763844714113,1482.1784374658112,1493.2881142410092,1504.7725842007255,1515.8983330205915,1527.2886666639465,1537.8524479669559,1527.3738267118129,1527.3738267118129,1527.3738267118129,1536.7673245720532,1546.6821197880022,1556.0538933580713,1556.0538933580713,1544.472775617843,1544.472775617843,1553.2410302556132,1553.2410302556132,1562.6734086692445,1571.1852327438328,1571.1852327438328,1560.296384614583,1549.5939155606898,1559.1133554835108,1567.8875351332686,1567.8875351332686,1556.656313590756,1556.656313590756,1566.6436529624814,1556.7332004808045,1556.7332004808045,1556.7332004808045,1556.7332004808045,1544.2415388812105,1544.2415388812105,1551.370589503466,1551.370589503466,1551.370589503466,1551.370589503466,1542.2117778229003,1552.4378057086703,1552.4378057086703,1552.4378057086703,1542.1985581941217,1552.5507439202281
Josh Bard,Batter,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1492.2431211625808,1483.1861770303665,1483.1861770303665,1475.6631333138994,1488.1617350809836,1500.0335494513292,1491.4453254227876,1491.4453254227876,1491.4453254227876,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1503.633969984688,1495.6358319080364,1495.6358319080364,1486.807941935979,1486.807941935979,1486.807941935979,1477.6656199980273,1477.6656199980273,1470.9603937001243,1470.9603937001243,1470.9603937001243,1463.5730762079374,1463.5730762079374,1463.5730762079374,1454.9935822961424,1454.9935822961424,1454.9935822961424,1448.1900625139165,1461.28551786597,1452.7671647219743,1452.7671647219743,1465.0259055247886,1465.0259055247886,1465.0259055247886,1457.6957641513122,1450.425352476013,1450.425352476013,1443.3125587258198,1437.064924524995,1437.064924524995,1437.064924524995,1437.064924524995,1437.064924524995,1437.064924524995,1437.064924524995,1437.064924524995,1448.6458089738571,1448.6458089738571,1448.6458089738571,1440.8480617219423,1440.8480617219423,1440.8480617219423,1452.3850865528332,1452.3850865528332,1452.3850865528332,1452.3850865528332,1452.3850865528332,1452.3850865528332,1452.3850865528332,1444.6356514776205,1444.6356514776205,1444.6356514776205,1444.6356514776205,1437.5390172252548,1437.5390172252548,1437.5390172252548,1431.1380083341242,1431.1380083341242,1431.1380083341242,1431.1380083341242,1431.1380083341242,1431.1380083341242,1431.1380083341242,1421.6018070354203,1421.6018070354203,1421.6018070354203,1421.6018070354203,1421.6018070354203,1421.6018070354203,1421.6018070354203,1421.6018070354203,1413.255632330213,1413.255632330213,1413.255632330213,1413.255632330213,1413.255632330213,1413.255632330213,1405.987709673576,1405.987709673576,1405.987709673576,1405.987709673576,1417.7707945642164,1417.7707945642164,1417.7707945642164,1417.7707945642164,1430.5565829394359,1430.5565829394359,1430.5565829394359,1430.5565829394359,1430.5565829394359,1421.751309366473,1421.751309366473,1413.4269779266199
Jeff Niemann,Pitcher,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1509.299228877581,1509.299228877581,1509.299228877581,1509.299228877581,1509.299228877581,1509.299228877581,1517.9694925807646,1517.9694925807646,1517.9694925807646,1517.9694925807646,1517.9694925807646,1527.7364287286239,1527.7364287286239,1527.7364287286239,1527.7364287286239,1527.7364287286239,1527.7364287286239,1515.3641781110155,1515.3641781110155,1515.3641781110155,1515.3641781110155,1515.3641781110155,1515.3641781110155,1523.0209878000442,1523.0209878000442,1523.0209878000442,1523.0209878000442,1523.0209878000442,1531.4350077619629,1531.4350077619629,1531.4350077619629,1531.4350077619629,1531.4350077619629,1531.4350077619629,1539.8769502170178,1539.8769502170178,1539.8769502170178,1539.8769502170178,1539.8769502170178,1546.8863385754635,1546.8863385754635,1546.8863385754635,1546.8863385754635,1546.8863385754635,1554.6695498040467,1554.6695498040467,1554.6695498040467,1554.6695498040467,1554.6695498040467,1564.1775423279137,1564.1775423279137,1564.1775423279137,1564.1775423279137,1564.1775423279137,1564.1775423279137,1564.1775423279137,1573.2274458138172,1573.2274458138172,1573.2274458138172,1573.2274458138172,1573.2274458138172,1561.584254543104,1561.584254543104,1561.584254543104,1561.584254543104,1561.584254543104,1561.584254543104,1570.5711825765563,1570.5711825765563,1570.5711825765563,1570.5711825765563,1570.5711825765563,1570.5711825765563,1558.12916816943,1558.12916816943,1558.12916816943,1558.12916816943,1558.12916816943,1558.12916816943,1568.2323593433869,1568.2323593433869,1568.2323593433869,1568.2323593433869,1568.2323593433869,1578.2555794358568,1578.2555794358568,1578.2555794358568,1578.2555794358568,1578.2555794358568,1586.8176639534795,1586.8176639534795,1586.8176639534795,1598.095740421688,1598.095740421688,1598.095740421688,1598.095740421688,1598.095740421688,1598.095740421688,1586.1678169309741,1586.1678169309741,1586.1678169309741,1586.1678169309741,1586.1678169309741,1594.0339999897146,1594.0339999897146,1594.0339999897146,1594.0339999897146,1594.0339999897146,1594.0339999897146,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1602.434469076657,1589.8823381186132,1589.8823381186132,1589.8823381186132,1589.8823381186132,1589.8823381186132,1589.8823381186132,1577.4385490752472,1577.4385490752472,1577.4385490752472,1577.4385490752472,1577.4385490752472,1577.4385490752472,1566.0291001273192,1566.0291001273192,1566.0291001273192,1566.0291001273192,1566.0291001273192,1566.0291001273192,1554.4756669767726,1554.4756669767726,1554.4756669767726,1554.4756669767726,1554.4756669767726,1554.4756669767726,1554.4756669767726,1542.8030544765347,1542.8030544765347,1542.8030544765347,1542.8030544765347,1542.8030544765347,1549.7679586999507,1549.7679586999507,1549.7679586999507,1549.7679586999507,1549.7679586999507,1539.0167948929102,1539.0167948929102,1539.0167948929102,1539.0167948929102,1539.0167948929102
Chris Ray,Pitcher,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1490.4565930784222,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1477.9322450581685,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1487.1688609627151,1476.4051702993008,1476.4051702993008
Hank Conger,Batter,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1510.2157281507725,1510.2157281507725,1522.1080946570896,1522.1080946570896,1533.7807071573275,1533.7807071573275,1544.6702761616289,1544.6702761616289,1544.6702761616289,1534.7586461352034,1534.7586461352034,1525.250875405269,1525.250875405269,1525.250875405269,1535.2563182153906,1535.2563182153906,1546.034331814314,1546.034331814314,1556.8424308848132
